stationID,stationName,lat,lon,count
322,Clinton St & Tillary St,40.696192,-73.991218,1561
323,Lawrence St & Willoughby St,40.692362,-73.986317,1558
324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,1547
325,E 19 St & 3 Ave,40.736245,-73.984738,1539
326,E 11 St & 1 Ave,40.729538,-73.984267,1529
327,Vesey Pl & River Terrace,40.715338,-74.016584,1521
328,Watts St & Greenwich St,40.724055,-74.00966,1498
329,Greenwich St & N Moore St,40.720434,-74.010206,1489
330,Reade St & Broadway,40.714505,-74.005628,1488
331,Pike St & Monroe St,40.711731,-73.99193,1484
332,Cherry St,40.712199,-73.979481,1483
334,W 20 St & 7 Ave,40.742388,-73.997262,1481
335,Washington Pl & Broadway,40.729039,-73.994046,1480
336,Sullivan St & Washington Sq,40.730477,-73.999061,1468
337,Old Slip & Front St,40.703799,-74.008387,1460
339,Avenue D & E 12 St,40.725806,-73.974225,1457
340,Madison St & Clinton St,40.71269,-73.987763,1436
341,Stanton St & Mangin St,40.717821,-73.976289,1419
342,Columbia St & Rivington St,40.7174,-73.980166,1412
343,Clinton Ave & Flushing Ave,40.69794,-73.969868,1406
344,Monroe St & Bedford Ave,40.685144,-73.953809,1404
345,W 13 St & 6 Ave,40.736494,-73.997044,1402
346,Bank St & Hudson St,40.736529,-74.00618,1398
347,W Houston St & Hudson St,40.728739,-74.007488,1397
348,W Broadway & Spring St,40.72491,-74.001547,1396
349,Rivington St & Ridge St,40.718502,-73.983299,1376
350,Clinton St & Grand St,40.715595,-73.98703,1371
351,Front St & Maiden Ln,40.70531,-74.006126,1367
352,W 56 St & 6 Ave,40.763406,-73.977225,1365
353,S Portland Ave & Hanson Pl,40.685396,-73.974315,1364
354,Emerson Pl & Myrtle Ave,40.693631,-73.962236,1353
355,Bayard St & Baxter St,40.716021,-73.999744,1342
356,Bialystoker Pl & Delancey St,40.716226,-73.982612,1336
357,E 11 St & Broadway,40.732618,-73.99158,1330
358,Christopher St & Greenwich St,40.732916,-74.007114,1322
359,E 47 St & Park Ave,40.755103,-73.974987,1318
360,William St & Pine St,40.707179,-74.008873,1315
361,Allen St & Hester St,40.716059,-73.991908,1312
362,Broadway & W 37 St,40.751726,-73.987535,1312
363,West Thames St,40.708347,-74.017134,1303
364,Lafayette Ave & Classon Ave,40.689004,-73.960239,1287
365,Fulton St & Grand Ave,40.682232,-73.961458,1284
366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,1281
367,E 53 St & Lexington Ave,40.758281,-73.970694,1278
368,Carmine St & 6 Ave,40.730386,-74.00215,1274
369,Washington Pl & 6 Ave,40.732241,-74.000264,1269
372,Franklin Ave & Myrtle Ave,40.694528,-73.958089,1269
373,Willoughby Ave & Walworth St,40.693317,-73.95382,1260
375,Mercer St & Bleecker St,40.726795,-73.996951,1258
376,John St & William St,40.708621,-74.007222,1251
377,6 Ave & Canal St,40.722438,-74.005664,1246
379,W 31 St & 7 Ave,40.749156,-73.9916,1244
380,W 4 St & 7 Ave S,40.734011,-74.002939,1243
382,University Pl & E 14 St,40.734927,-73.992005,1240
383,Greenwich Ave & Charles St,40.735238,-74.000271,1237
384,Fulton St & Waverly Ave,40.683178,-73.965964,1228
385,E 55 St & 2 Ave,40.757973,-73.966033,1222
386,Centre St & Worth St,40.714948,-74.002345,1208
387,Centre St & Chambers St,40.712733,-74.004607,1194
388,W 26 St & 10 Ave,40.749718,-74.00295,1168
389,Broadway & Berry St,40.710446,-73.965251,1155
390,Duffield St & Willoughby St,40.692216,-73.984284,1153
391,Clark St & Henry St,40.697601,-73.993446,1151
